[ 2012-07-12T16:23:12+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31176/xianluID/31175/shoujiaID/31193 | SQL: SELECT * FROM `myerpview_system_datadictionary` WHERE `title` = '2222' and `type` = '视频' LIMIT 1   [ RunTime:0.000314s ]
[ 2012-07-12T16:23:12+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31176/xianluID/31175/shoujiaID/31193 | SQL: SELECT * FROM `myerpview_system_datadictionary` WHERE `title` = 'tup ' and `type` = '图片' LIMIT 1   [ RunTime:0.000278s ]
[ 2012-07-12T16:23:12+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31176/xianluID/31175/shoujiaID/31193 | SQL: SELECT * FROM `myerpview_system_datadictionary` WHERE `title` = '345353' and `type` = '图片' LIMIT 1   [ RunTime:0.000287s ]
[ 2012-07-12T16:23:12+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31176/xianluID/31175/shoujiaID/31193 | SQL: SELECT * FROM `myerpview_system_datadictionary` WHERE `title` = '尔特' and `type` = '图片' LIMIT 1   [ RunTime:0.000281s ]
[ 2012-07-12T16:23:12+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31176/xianluID/31175/shoujiaID/31193 | SQL: SHOW COLUMNS FROM `myerpview_chanpin_zituan` [ RunTime:0.002992s ]
[ 2012-07-12T16:23:12+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31176/xianluID/31175/shoujiaID/31193 | SQL: SELECT * FROM `myerpview_chanpin_zituan` WHERE `chanpinID` = '31176' LIMIT 1   [ RunTime:0.000293s ]
[ 2012-07-12T16:23:12+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31176/xianluID/31175/shoujiaID/31193 | SQL: SHOW COLUMNS FROM `myerpview_system_department` [ RunTime:0.002793s ]
[ 2012-07-12T16:23:12+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31176/xianluID/31175/shoujiaID/31193 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.002766s ]
[ 2012-07-12T16:23:12+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31176/xianluID/31175/shoujiaID/31193 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000298s ]
[ 2012-07-12T16:23:12+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31176/xianluID/31175/shoujiaID/31193 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.002807s ]
[ 2012-07-12T16:23:12+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31176/xianluID/31175/shoujiaID/31193 | SQL: SELECT * FROM `myerpview_system_user` WHERE `title` = '我爱中华' LIMIT 1   [ RunTime:0.000335s ]
[ 2012-07-12T16:23:12+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31176/xianluID/31175/shoujiaID/31193 | SQL: SHOW COLUMNS FROM `myerp_system_DUR` [ RunTime:0.002406s ]
[ 2012-07-12T16:23:12+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31176/xianluID/31175/shoujiaID/31193 | SQL: SELECT * FROM `myerp_system_DUR` WHERE `userID` = '40893'  [ RunTime:0.000166s ]
[ 2012-07-12T16:23:12+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31176/xianluID/31175/shoujiaID/31193 | SQL: SELECT * FROM `myerpview_system_department` WHERE `systemID` = '40178' LIMIT 1   [ RunTime:0.000296s ]
[ 2012-07-12T16:23:12+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31176/xianluID/31175/shoujiaID/31193 | NOTIC: [8] Undefined index:  doprint XiaoshouAction.class.php 第 71 行.
[ 2012-07-12T16:23:12+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31176/xianluID/31175/shoujiaID/31193 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.002649s ]
[ 2012-07-12T16:23:12+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31176/xianluID/31175/shoujiaID/31193 | SQL: SELECT * FROM `myerpview_system_user`  [ RunTime:0.000661s ]
[ 2012-07-12T16:23:12+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31176/xianluID/31175/shoujiaID/31193 | INFO: Tag[ view_template ] --START--
[ 2012-07-12T16:23:12+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31176/xianluID/31175/shoujiaID/31193 | INFO: Run LocationTemplate Behavior [ RunTime:0.000715s ]
[ 2012-07-12T16:23:12+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31176/xianluID/31175/shoujiaID/31193 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000767s ]
[ 2012-07-12T16:23:12+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31176/xianluID/31175/shoujiaID/31193 | INFO: Tag[ view_parse ] --START--
